date,factor,ic,rank_ic,n
2024-04-25,mom_60,0.0036037643844261487,-0.09529616724738678,41
2024-04-25,roe,0.18346318509614343,0.2232645403377111,40
2024-04-26,bp,-0.160631432206217,-0.36360652150125833,38
2024-04-26,ep,0.013314008482157741,-0.12064777327935224,39
2024-04-26,mom_20,-0.22582906696630625,-0.27613240418118473,41
2024-04-26,mom_60,-0.29483832578213476,-0.30923344947735193,41
2024-04-26,roe,0.27261937766136235,0.2651031894934334,40
2024-04-29,bp,-0.03204390867199081,-0.3423788160630266,38
2024-04-29,ep,0.15268978157225202,-0.029757085020242918,39
2024-04-29,mom_20,-0.30674325432171623,-0.24163763066202099,41
2024-04-29,mom_60,0.006193049935312495,-0.08310104529616727,41
2024-04-29,roe,0.1884867774654601,0.3330206378986867,40
2024-04-30,bp,0.020080911463523813,-0.17124411861253966,38
2024-04-30,ep,0.16768465240209918,-0.031578947368421054,39
2024-04-30,mom_20,-0.23507005251050483,-0.16620209059233454,41
2024-04-30,mom_60,-0.12517529017846596,-0.13519163763066205,41
2024-04-30,roe,0.10364370231460329,0.14690431519699815,40
2024-05-01,bp,0.1323070637824664,0.03818798555640661,38
2024-05-01,ep,0.29360845780420175,0.09939271255060729,39
2024-05-01,mom_20,-0.4233448788650592,-0.38170731707317085,41
2024-05-01,mom_60,-0.06264793549400371,-0.11097560975609759,41
2024-05-01,roe,0.0788443139382802,0.06060037523452158,40
2024-05-02,bp,0.39454786549276394,0.2745376955903272,38
2024-05-02,ep,0.41756511505546867,0.2755060728744939,39
2024-05-02,mom_20,-0.29831489751844015,-0.21515679442508714,41
2024-05-02,mom_60,0.02899978983005699,0.05836236933797911,41
2024-05-02,roe,0.05024419483683201,-0.07673545966228894,40
2024-05-03,bp,0.3997375742575373,0.3741109530583214,38
2024-05-03,ep,0.35700416128424545,0.37246963562753044,39
2024-05-03,mom_20,-0.24441005262311705,-0.1315331010452962,41
2024-05-03,mom_60,0.24212429911211128,0.24843205574912894,41
2024-05-03,roe,-0.1326117253694954,-0.17617260787992498,40
2024-05-06,bp,0.3198464614910162,0.307582886530255,38
2024-05-06,ep,0.3357430604388224,0.39008097165991906,39
2024-05-06,mom_20,0.051564462563488726,0.14111498257839725,41
2024-05-06,mom_60,0.1801679997826036,0.2055749128919861,41
2024-05-06,roe,-0.10128079142896775,-0.04409005628517824,40
2024-05-07,bp,0.3456989513617889,0.28832476200897256,38
2024-05-07,ep,0.23342786002928376,0.3388663967611336,39
2024-05-07,mom_20,0.05343446782882175,0.03292682926829269,41
2024-05-07,mom_60,0.34440875010433825,0.3029616724738676,41
2024-05-07,roe,-0.035394568219530124,-0.11613508442776736,40
2024-05-08,bp,0.09826745998556867,0.100120363278258,38
2024-05-08,ep,-0.016860140176913552,0.01882591093117409,39
2024-05-08,mom_20,0.11273501743015196,0.055400696864111504,41
2024-05-08,mom_60,0.2220139082921122,0.13257839721254358,41
2024-05-08,roe,0.1368714794582138,-0.10769230769230771,40
2024-05-09,bp,-0.12431939396638884,-0.057446110077689023,38
2024-05-09,ep,-0.2307447538021517,-0.2473684210526316,39
2024-05-09,mom_20,-0.0901059943564137,-0.01550522648083624,41
2024-05-09,mom_60,-0.04358894440612768,-0.1015679442508711,41
2024-05-09,roe,-0.09278719232600287,-0.035084427767354605,40
2024-05-10,bp,-0.11400315929739291,-0.05350694824379035,38
2024-05-10,ep,-0.18401171270842417,-0.16356275303643728,39
2024-05-10,mom_20,-0.13226128804593346,-0.11324041811846691,41
2024-05-10,mom_60,-0.12484478318942459,-0.05627177700348433,41
2024-05-10,roe,-0.027206617085549892,0.07617260787992497,40
2024-05-13,bp,-0.13671902198458177,-0.13010176168070903,38
2024-05-13,ep,-0.1760416823332769,-0.23522267206477734,39
2024-05-13,mom_20,-0.15695476179321746,-0.06289198606271779,41
2024-05-13,mom_60,0.018434270974799844,0.08414634146341465,41
2024-05-13,roe,-0.019663659568831374,0.0906191369606004,40
2024-05-14,bp,-0.06947984449937118,-0.1611773717036875,38
2024-05-14,ep,-0.14364589869778693,-0.24635627530364373,39
2024-05-14,mom_20,0.0694673718519298,0.125609756097561,41
2024-05-14,mom_60,0.046340247311332926,0.04878048780487806,41
2024-05-14,roe,-0.0664881603062392,0.1384615384615385,40
2024-05-15,bp,-0.09883601916468307,-0.2423678739468213,38
2024-05-15,ep,-0.1799033321234222,-0.32165991902834007,39
2024-05-15,mom_20,0.15121962705553174,0.22142857142857147,41
2024-05-15,mom_60,0.03821754894826048,0.05470383275261326,41
2024-05-15,roe,-0.19996819936419458,0.1133208255159475,40
2024-05-16,bp,-0.08568997002742236,-0.25330999015209543,38
2024-05-16,ep,-0.05243065999952254,-0.23805668016194334,39
2024-05-16,mom_20,0.2701833649967606,0.26933797909407675,41
2024-05-16,mom_60,0.5142600100702119,0.3221254355400697,41
2024-05-16,roe,-0.097474429383604,0.13621013133208254,40
2024-05-17,bp,-0.027072025854986054,-0.06576211839369735,38
2024-05-17,ep,-0.04600957345374388,-0.15101214574898789,39
2024-05-17,mom_20,0.6738152935643271,0.6796167247386762,41
2024-05-17,mom_60,0.3477113636739689,0.26411149825783975,41
2024-05-17,roe,-0.09271610979024221,-0.008255159474671672,40
2024-05-20,bp,0.005120157918086338,-0.009081956450377503,38
